Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,108.33,100000.0,0.0,HOLD
2018-01-02,100000.0,0,109.06,100000.0,0.0,HOLD
2018-01-03,100000.0,0,106.07,100000.0,0.0,HOLD
2018-01-04,100000.0,0,106.65,100000.0,0.0,HOLD
2018-01-05,100000.0,0,105.93,100000.0,0.0,HOLD
2018-01-08,100000.0,0,106.48,100000.0,0.0,HOLD
2018-01-09,100000.0,0,108.55,100000.0,0.0,HOLD
2018-01-10,100000.0,0,111.8,100000.0,0.0,HOLD
2018-01-11,100000.0,0,109.88,100000.0,0.0,HOLD
2018-01-12,100000.0,0,109.1,100000.0,0.0,HOLD
2018-01-15,100000.0,0,107.8,100000.0,0.0,HOLD
2018-01-16,100000.0,0,113.6,100000.0,0.0,HOLD
2018-01-17,100000.0,0,111.46,100000.0,0.0,HOLD
2018-01-18,100000.0,0,111.34,100000.0,0.0,HOLD
2018-01-19,100000.0,0,112.57,100000.0,0.0,HOLD
2018-01-22,100000.0,0,110.04,100000.0,0.0,HOLD
2018-01-23,100000.0,0,107.88,100000.0,0.0,HOLD
2018-01-24,100000.0,0,107.44,100000.0,0.0,HOLD
2018-01-25,100000.0,0,106.75,100000.0,0.0,HOLD
2018-01-29,100000.0,0,106.48,100000.0,0.0,HOLD
2018-01-30,100000.0,0,105.16,100000.0,0.0,HOLD
2018-01-31,100000.0,0,104.61,100000.0,0.0,HOLD
2018-02-01,100000.0,0,103.26,100000.0,0.0,HOLD
2018-02-02,100000.0,0,103.2,100000.0,0.0,HOLD
2018-02-05,100000.0,0,102.57,100000.0,0.0,HOLD
2018-02-06,100000.0,0,101.16,100000.0,0.0,HOLD
2018-02-07,100000.0,0,99.34,100000.0,0.0,HOLD
2018-02-08,100000.0,0,99.5,100000.0,0.0,HOLD
2018-02-09,100000.0,0,97.85,100000.0,0.0,HOLD
2018-02-12,100000.0,0,99.2,100000.0,0.0,HOLD
2018-02-14,100000.0,0,100.75,100000.0,0.0,HOLD
2018-02-15,100000.0,0,100.42,100000.0,0.0,HOLD
2018-02-16,100000.0,0,99.91,100000.0,0.0,HOLD
2018-02-19,100000.0,0,99.55,100000.0,0.0,HOLD
2018-02-20,100000.0,0,100.06,100000.0,0.0,HOLD
2018-02-21,100000.0,0,100.32,100000.0,0.0,HOLD
2018-02-22,100000.0,0,100.47,100000.0,0.0,HOLD
2018-02-23,100000.0,0,101.28,100000.0,0.0,HOLD
2018-02-26,100000.0,0,100.11,100000.0,0.0,HOLD
2018-02-27,100000.0,0,100.17,100000.0,0.0,HOLD
2018-02-28,100000.0,0,100.53,100000.0,0.0,HOLD
2018-03-01,100000.0,0,100.42,100000.0,0.0,HOLD
2018-03-05,100000.0,0,99.89,100000.0,0.0,HOLD
2018-03-06,100000.0,0,98.52,100000.0,0.0,HOLD
2018-03-07,100000.0,0,97.97,100000.0,0.0,HOLD
2018-03-08,100000.0,0,97.92,100000.0,0.0,HOLD
2018-03-09,100000.0,0,97.86,100000.0,0.0,HOLD
2018-03-12,100000.0,0,99.8,100000.0,0.0,HOLD
